"USAF","WBAN","STATION NAME","CTRY","STATE","ICAO","LAT","LON","ELEV(M)","BEGIN","END"
"999999","23272","DOWNTOWN","US","CA","","+37.771","-122.427","+0045.7","19450101","20240128"
"999999","23273","SANTA MARIA PUBLIC ARPT","US","CA","KSMX","+34.899","-120.449","+0072.5","19541021","19721231"
"999999","23275","UKIAH MUNICIPAL AP","US","CA","KUKI","+39.126","-123.201","+0190.8","19490912","19650101"
"999999","23293","SAN JOSE MUNICIPAL AP","US","CA","KSJC","+37.359","-121.924","+0015.2","19510101","19721231"
"999999","23583","ALEKNAGIK 1 NNE","US","AK","","+59.284","-158.615","+0024.4","20191009","20240129"
"999999","23801","TROY 2 W","US","AL","","+31.790","-086.000","+0143.9","20080115","20240129"
"999999","23802","THOMASVILLE 2 S","US","AL","","+31.881","-087.737","+0106.7","20080118","20240129"
"999999","23803","HOLLY SPRINGS 4 N","US","MS","","+34.822","-089.435","+0147.5","20080201","20240129"
"999999","23904","BATESVILLE 8 WNW","US","AR","","+35.820","-091.781","+0138.7","20061219","20240129"
"999999","23906","PORT ARANSAS 32 NNE","US","TX","","+28.305","-096.823","+0004.6","20071116","20240129"
"999999","23907","AUSTIN 33 NW","US","TX","","+30.622","-098.085","+0414.8","20080201","20240129"
"999999","23908","JOPLIN 24 N","US","MO","","+37.428","-094.583","+0290.2","20070525","20240129"
"999999","23909","SALEM 10 W","US","MO","","+37.634","-091.723","+0365.2","20070517","20240129"
"999999","24011","BISMARCK MUNICIPAL ARPT","US","ND","KBIS","+46.783","-100.757","+0506.0","19480101","19721231"
"999999","24012","DICKINSON MUNICIPAL AP","US","ND","KDIK","+46.799","-102.797","+0787.3","19481201","19721231"
"999999","24013","MINOT FAA AP","US","ND","KMOT","+48.255","-101.273","+0522.4","19481201","19721231"
"999999","24014","WILLISTON","US","ND","","+48.150","-103.617","+0577.9","19500313","19620101"
"999999","24015","AKRON WASHINGTON CO AP","US","CO","KAKO","+40.167","-103.217","+1408.5","19480101","19550101"
"999999","24016","CASPER","US","WY","","+42.917","-106.333","+1613.0","19480101","19500308"
"999999","24017","CHADRON MUNICIPAL AP","US","NE","KCDR","+42.837","-103.098","+1004.6","19480101","19550101"
"999999","24018","CHEYENNE MUNICIPAL ARPT","US","WY","KCYS","+41.150","-104.817","+1871.5","19710101","19721231"
"999999","24019","DOUGLAS","US","WY","4DG","+42.750","-105.383","+1466.1","19480601","19550101"
"999999","24020","HAYES CENTER","US","NE","","+40.517","-101.017","+0926.9","19480101","19501101"
"999999","24021","LANDER HUNT FIELD","US","WY","KLND","+42.815","-108.726","+1694.1","19480101","19721231"
"999999","24022","LARAMIE GENERAL BREES FIELD","US","WY","KLAR","+41.317","-105.683","+2216.5","19480101","19550101"
"999999","24023","NORTH PLATTE LEE BIRD FIELD","US","NE","KLBF","+41.121","-100.669","+0849.5","19480101","19721231"
"999999","24024","PHILIP 1 S","US","SD","KPHP","+44.051","-101.601","+0674.2","19480101","19550101"
"999999","24025","PIERRE REGIONAL AP","US","SD","KPIR","+44.381","-100.286","+0526.1","19480101","19721231"
"999999","24026","RAPID CITY","US","SD","","+44.150","-103.100","+0981.2","19480101","19750709"
"999999","24027","ROCK SPRINGS ARPT","US","WY","KRKS","+41.594","-109.053","+2055.9","19480101","19721231"
"999999","24028","SCOTTSBLUFF W B HEILIG FIEL","US","NE","KBFF","+41.871","-103.593","+1206.4","19480101","19721231"
"999999","24029","SHERIDAN COUNTY ARPT","US","WY","KSHR","+44.769","-106.969","+1209.4","19480101","19721231"
"999999","24030","SIDNEY MUNICIPAL AP","US","NE","KSNY","+41.099","-102.986","+1312.5","19480601","19550101"
"999999","24031","SINCLAIR CAA AP","US","WY","","+41.800","-107.050","+2000.1","19480101","19510226"
"999999","24033","BILLINGS MUNICIPAL ARPT","US","MT","KBIL","+45.807","-108.542","+1088.1","19480101","19721231"
"999999","24034","GLASGOW # 2","US","MT","","+48.183","-106.633","+0637.0","19480101","19551025"
"999999","24035","HAVRE","US","MT","","+48.567","-109.667","+0759.9","19480101","19610131"
"999999","24036","LEWISTOWN MUNICIPAL ARPT","US","MT","KLWT","+47.049","-109.458","+1263.7","19480101","19721231"
"999999","24037","MILES CITY MUNICIPAL ARPT","US","MT","KMLS","+46.427","-105.883","+0802.8","19480101","19721231"
"999999","24040","CUSTER","US","MT","","+46.133","-107.533","+0836.1","19480101","19500515"
"999999","24057","RAWLINS MUNICIPAL AP","US","WY","KRWL","+41.800","-107.200","+2055.3","19550101","19650101"
"999999","24088","MOORCROFT 3 S","US","WY","","+44.217","-104.933","+1318.3","19500101","19520715"
"999999","24089","CASPER NATRONA CO INTL AP","US","WY","KCPR","+42.898","-106.474","+1612.4","19650101","19721231"
"999999","24091","IMPERIAL FAA AP","US","NE","KIML","+40.510","-101.620","+0997.6","19501201","19541231"
"999999","24101","OGDEN HILL AAF","US","UT","KHIF","+41.117","-111.967","+1459.7","19710101","19710101"
"999999","24118","FORT BRIDGER AP","US","WY","","+41.400","-110.417","+2140.9","19480601","19550101"
"999999","24119","BATTLE MOUNTAIN LANDER COUNTY","US","NV","KBAM","+40.612","-116.892","+1381.4","19481101","19550101"
"999999","24120","COALVILLE SAWRS","US","UT","CVL","+40.917","-111.400","+1763.0","19480101","19480611"
"999999","24121","ELKO MUNICIPAL ARPT","US","NV","KEKO","+40.829","-115.789","+1546.6","19480101","19761231"
